Number,Title,Link
1 ,Euro 2024: Ronaldo Offside Melulu, Free Kick pun Tumpul                      ,https://sport.detik.com/sepakbola/bola-dunia/d-7398851/euro-2024-ronaldo-offside-melulu-free-kick-pun-tumpul                       
2 ,Teka-teki Siapa Pelaku Keji Paku Kucing ke Pohon di Malang                   ,https://www.detik.com/jatim/berita/d-7398710/teka-teki-siapa-pelaku-keji-paku-kucing-ke-pohon-di-malang                            
3 ,Ini Barang-barang yang Dijarah dari Rusun Marunda yang Sudah Kosong          ,https://www.detik.com/properti/berita/d-7398766/ini-barang-barang-yang-dijarah-dari-rusun-marunda-yang-sudah-kosong                
4 ,Asal Muasal dan Hilangnya Tradisi Kuda Kosong di Ciamis                      ,https://www.detik.com/jabar/budaya/d-7397255/asal-muasal-dan-hilangnya-tradisi-kuda-kosong-di-ciamis                               
5 ,Embun Es Dieng Muncul Lagi Pagi Ini, Suhu Minus 1,2 Derajat Celsius          ,https://www.detik.com/jateng/berita/d-7398942/embun-es-dieng-muncul-lagi-pagi-ini-suhu-minus-1-2-derajat-celsius                   
6 ,Memasukkan Jari ke Miss V, Bisakah Merusak Selaput Dara Dok?                 ,https://health.detik.com/konsultasi/d-7398997/memasukkan-jari-ke-miss-v-bisakah-merusak-selaput-dara-dok                           
7 ,Warga Lembang Keracunan Massal, Diduga Usai Santap Hidangan Hajatan          ,https://news.detik.com/berita/d-7398995/warga-lembang-keracunan-massal-diduga-usai-santap-hidangan-hajatan                         
8 ,Reaksi Ari Bias Seusai Agnez Mo Tak Acuh soal Somasi                         ,https://20.detik.com/detikupdate/20240620-240620058/reaksi-ari-bias-seusai-agnez-mo-tak-acuh-soal-somasi                           
9 ,Saka Tatal Ngaku Diintimidasi, Polri Buka Foto Pemeriksaan Kasus Vina 2016   ,https://20.detik.com/detikupdate/20240620-240620051/saka-tatal-ngaku-diintimidasi-polri-buka-foto-pemeriksaan-kasus-vina-2016      
10,Polisi: Di Sidang Kasus Vina Terungkap Ada Pihak Imingi Saksi Uang           ,https://20.detik.com/detikupdate/20240620-240620053/polisi-di-sidang-kasus-vina-terungkap-ada-pihak-imingi-saksi-uang              
11,Anomali Jalur Favorit KA di Libur Idul Adha: Jogja-Banyuwangi, Bandung-Blitar,https://travel.detik.com/travel-news/d-7398899/anomali-jalur-favorit-ka-di-libur-idul-adha-jogja-banyuwangi-bandung-blitar         
12,Heboh Suzuki Swift Baru Masuk Indonesia                                      ,https://oto.detik.com/mobil/d-7398994/heboh-suzuki-swift-baru-masuk-indonesia                                                      
13,Kompak Abis! Gaya Bella Shofie dan Putri Rigan Liburan di Paris              ,https://hot.detik.com/celeb/d-7398948/kompak-abis-gaya-bella-shofie-dan-putri-rigan-liburan-di-paris                               
14,Ben Affleck dan Matt Damon Reunian Lagi di Film Thriller Kriminal Terbaru    ,https://www.detik.com/pop/movie/d-7398372/ben-affleck-dan-matt-damon-reunian-lagi-di-film-thriller-kriminal-terbaru                
15,Polri Sebut Keterangan Saka Tatal Saat Pemeriksaan 2016 Cenderung Bohong     ,https://20.detik.com/detikupdate/20240620-240620055/polri-sebut-keterangan-saka-tatal-saat-pemeriksaan-2016-cenderung-bohong       
16,Heru Budi Buka JakFood Fest 2024: Tanda Kami Pertahankan Inflasi             ,https://news.detik.com/berita/d-7398990/heru-budi-buka-jakfood-fest-2024-tanda-kami-pertahankan-inflasi                            
17,40 Kata-kata Positif untuk Diri Sendiri Bahasa Inggris dan Artinya           ,https://wolipop.detik.com/love/d-7398989/40-kata-kata-positif-untuk-diri-sendiri-bahasa-inggris-dan-artinya                        
18,15 Kota Terbaik di Dunia untuk Kuliah Versi QS Best Student Cities 2025      ,https://www.detik.com/edu/perguruan-tinggi/d-7398640/15-kota-terbaik-di-dunia-untuk-kuliah-versi-qs-best-student-cities-2025       
19,Awal Mula Rusunawa Marunda Mendadak Dikosongkan hingga Akhirnya Dijarah      ,https://www.detik.com/properti/berita/d-7398895/awal-mula-rusunawa-marunda-mendadak-dikosongkan-hingga-akhirnya-dijarah            
20,3 Resep Tumis Bokchoy ala Restoran, Renyah Gurih Menyegarkan                 ,https://food.detik.com/sayur/d-7397205/3-resep-tumis-bokchoy-ala-restoran-renyah-gurih-menyegarkan                                 
21,4 Negara yang Diwaspadai Messi di Copa America 2024                          ,https://sport.detik.com/sepakbola/bola-dunia/d-7398892/4-negara-yang-diwaspadai-messi-di-copa-america-2024                         
22,Viral Warga Malang Temukan Kucing Dipaku di Pohon                            ,https://news.detik.com/berita/d-7398983/viral-warga-malang-temukan-kucing-dipaku-di-pohon                                          
23,Viral Penganiayaan Maut di Indramayu, 2 Pelaku Ditangkap Polisi              ,https://20.detik.com/detikupdate/20240620-240620061/viral-penganiayaan-maut-di-indramayu-2-pelaku-ditangkap-polisi                 
24,Miris! Pemuda di Bondowoso Perkosa Sepupu Usia 14 Tahun hingga Hamil         ,https://news.detik.com/berita/d-7398980/miris-pemuda-di-bondowoso-perkosa-sepupu-usia-14-tahun-hingga-hamil                        
25,Nvidia Jadi Perusahaan Terbesar, Kekayaan Jensen Huang Salip Mukesh Ambani   ,https://finance.detik.com/berita-ekonomi-bisnis/d-7398977/nvidia-jadi-perusahaan-terbesar-kekayaan-jensen-huang-salip-mukesh-ambani
26,Lakukan Modus Sengaja Tertabrak, Pria Ini Rugikan Rp 228 Juta                ,https://finance.detik.com/berita-ekonomi-bisnis/d-7398976/lakukan-modus-sengaja-tertabrak-pria-ini-rugikan-rp-228-juta             
27,Apakah Tawaf Wada Harus 7 Kali?                                              ,https://www.detik.com/hikmah/haji-dan-umrah/d-7398615/apakah-tawaf-wada-harus-7-kali                                               
28,Cuma Sampai 20 Juni, Yuk Pre-order vivo X Fold3 Pro, Eksklusif di Blibli!    ,https://inet.detik.com/consumer/d-7398974/cuma-sampai-20-juni-yuk-pre-order-vivo-x-fold3-pro-eksklusif-di-blibli                   
29,10 Manusia Paling Misterius dalam Sejarah Dunia                              ,https://inet.detik.com/fotoinet/d-7398913/10-manusia-paling-misterius-dalam-sejarah-dunia                                          
30,Bagaimana Prediksi IHSG Hari Ini?                                            ,https://finance.detik.com/market-research/d-7398970/bagaimana-prediksi-ihsg-hari-ini                                               
31,Pro Prabowo Buka Suara Usai PKS Ungkap Ada Tawaran Cawagub Jakarta           ,https://news.detik.com/pemilu/d-7398968/pro-prabowo-buka-suara-usai-pks-ungkap-ada-tawaran-cawagub-jakarta                         
32,Dilema Asian Value dan Human Rights                                          ,https://news.detik.com/kolom/d-7398967/dilema-asian-value-dan-human-rights                                                         
33,Dear Slot, Gimana Rasanya Jadi Pengganti Klopp?                              ,https://sport.detik.com/sepakbola/liga-inggris/d-7398890/dear-slot-gimana-rasanya-jadi-pengganti-klopp                             
34,Pemilik Rental Mobil Surabaya Bersikukuh Tolak Penyewa dari Pati             ,https://travel.detik.com/travel-news/d-7398927/pemilik-rental-mobil-surabaya-bersikukuh-tolak-penyewa-dari-pati                    
35,Vladimir Putin Sopiri Kim Jong Un Pakai Limosin Mewah di Pyongyang           ,https://oto.detik.com/berita/d-7398962/vladimir-putin-sopiri-kim-jong-un-pakai-limosin-mewah-di-pyongyang                          
36,Makin Cantik, Intip Gaya Rambut Baru Syifa Hadju Usai Putus Dari Rizky Nazar ,https://wolipop.detik.com/makeup-and-skincare/d-7398960/makin-cantik-intip-gaya-rambut-baru-syifa-hadju-usai-putus-dari-rizky-nazar
37,Kondisi Pengungsi Kebakaran Hutan di New Mexico                              ,https://news.detik.com/foto-news/d-7398617/kondisi-pengungsi-kebakaran-hutan-di-new-mexico                                         
38,Drama Musikal Keluarga Cemara Hadirkan Dua Babak Penuh Pesan Mendalam        ,https://www.detik.com/pop/culture/d-7398647/drama-musikal-keluarga-cemara-hadirkan-dua-babak-penuh-pesan-mendalam                  
39,Favorit di Sudirman! Kantin Karyawan 4 Lantai Isi 74 Makanan Kaki Lima       ,https://food.detik.com/foto-kuliner/d-7397842/favorit-di-sudirman-kantin-karyawan-4-lantai-isi-74-makanan-kaki-lima                
40,PPDB Jabar 2024 Tahap 1 Diumumkan, Cek Jadwal Tahap 2 & Syarat-syaratnya!    ,https://www.detik.com/edu/sekolah/d-7398160/ppdb-jabar-2024-tahap-1-diumumkan-cek-jadwal-tahap-2-syarat-syaratnya                  
41,Lebih Ngeri dari TikTok Shop, Aplikasi Temu dari China Dipelototi Kemendag   ,https://finance.detik.com/berita-ekonomi-bisnis/d-7398672/lebih-ngeri-dari-tiktok-shop-aplikasi-temu-dari-china-dipelototi-kemendag
42,Relawan Anies: Melejitnya Popularitas RK Bisa Bikin Elite Golkar Tak Nyaman  ,https://20.detik.com/detikupdate/20240620-240620049/relawan-anies-melejitnya-popularitas-rk-bisa-bikin-elite-golkar-tak-nyaman     
43,Jerman Terus Membaik dari Waktu ke Waktu                                     ,https://sport.detik.com/sepakbola/bola-dunia/d-7398889/jerman-terus-membaik-dari-waktu-ke-waktu                                    
44,Eks Waketum PBB Nilai Fahri Bachmid Inkonsisten soal Polemik di Publik       ,https://news.detik.com/pemilu/d-7398946/eks-waketum-pbb-nilai-fahri-bachmid-inkonsisten-soal-polemik-di-publik                     
45,Putin-Kim Jong Un Berikrar Saling Bantu Lawan Agresi, Apa Artinya?           ,https://news.detik.com/bbc-world/d-7398944/putin-kim-jong-un-berikrar-saling-bantu-lawan-agresi-apa-artinya                        
46,7 Fakta Luar Biasa Titan Boa, Ular Terbesar yang Pernah Ditemukan            ,https://inet.detik.com/science/d-7398912/7-fakta-luar-biasa-titan-boa-ular-terbesar-yang-pernah-ditemukan                          
47,Wings Air Buka Rute Baru Langsung dari Bali ke Sumbawa yang Indah            ,https://travel.detik.com/travel-news/d-7398897/wings-air-buka-rute-baru-langsung-dari-bali-ke-sumbawa-yang-indah                   
48,Tampang GAC Aion Y Plus, Mobil Listrik Baru di RI Seharga Rp 415 Juta        ,https://oto.detik.com/oto-galeri/d-7398932/tampang-gac-aion-y-plus-mobil-listrik-baru-di-ri-seharga-rp-415-juta                    
49,Polisi-Imigrasi Akan Kecipratan Jika Pungutan Turis Asing Naik Jadi US$ 50   ,https://www.detik.com/bali/wisata/d-7398931/polisi-imigrasi-akan-kecipratan-jika-pungutan-turis-asing-naik-jadi-us-50              
50,Pendiri Studio Ghibli Hayao Miyazaki Ternyata Suka Banget Film Pixar Ini!    ,https://www.detik.com/pop/movie/d-7398405/pendiri-studio-ghibli-hayao-miyazaki-ternyata-suka-banget-film-pixar-ini                 
51,Penjelasan Femmy Permatasari Pernah Koma Lama sampai Amnesia                 ,https://hot.detik.com/celeb/d-7398928/penjelasan-femmy-permatasari-pernah-koma-lama-sampai-amnesia                                 
52,20 Tahun Digaji Tanpa Diberi Pekerjaan, Wanita Ini Tuntut Perusahaan         ,https://wolipop.detik.com/worklife/d-7398857/20-tahun-digaji-tanpa-diberi-pekerjaan-wanita-ini-tuntut-perusahaan                   
53,4 Amalan Hari Tasyrik Idul Adha dan Keutamaannya                             ,https://www.detik.com/hikmah/khazanah/d-7398656/4-amalan-hari-tasyrik-idul-adha-dan-keutamaannya                                   
54,Usai Kalap Makan Daging, Coba Konsumsi 5 Minuman Detoks Alami Ini            ,https://food.detik.com/info-sehat/d-7398186/usai-kalap-makan-daging-coba-konsumsi-5-minuman-detoks-alami-ini                       
55,Apakah Tawaf Wada Harus 7 Kali?                                              ,https://www.detik.com/hikmah/haji-dan-umrah/d-7398615/apakah-tawaf-wada-harus-7-kali                                               
56,Nilai Haji 2024 Lebih Baik, Anwar Abbas: Tidak Usah Panas Dikritik           ,https://www.detik.com/hikmah/haji-dan-umrah/d-7398881/nilai-haji-2024-lebih-baik-anwar-abbas-tidak-usah-panas-dikritik             
57,Saat Difabel Tidur Bertumpuk dengan Jemaah Lain di Maktab 72                 ,https://news.detik.com/berita/d-7398867/saat-difabel-tidur-bertumpuk-dengan-jemaah-lain-di-maktab-72                               
58,Indonesia Dapat 221 Ribu Kuota Haji Tahun 2025                               ,https://20.detik.com/detikupdate/20240620-240620057/indonesia-dapat-221-ribu-kuota-haji-tahun-2025-                                
59,syl                                                                          ,https://www.detik.com/tag/syl                                                                                                      
60,haji 2024                                                                    ,https://www.detik.com/tag/haji-2024                                                                                                
61,hasto kristiyanto                                                            ,https://www.detik.com/tag/hasto-kristiyanto                                                                                        
62,euro 2024                                                                    ,https://www.detik.com/tag/euro-2024                                                                                                
63,anies baswedan                                                               ,https://www.detik.com/tag/anies-baswedan                                                                                           
64,Ilmuwan China Ungkap Rahasia Umur Panjang, Termasuk Konsumsi Makanan Ini     ,https://health.detik.com/berita-detikhealth/d-7398929/ilmuwan-china-ungkap-rahasia-umur-panjang-termasuk-konsumsi-makanan-ini      
65,Euro 2024: Pemain-pemain Portugal Dituding Tak Percaya Ronaldo               ,https://sport.detik.com/sepakbola/bola-dunia/d-7398835/euro-2024-pemain-pemain-portugal-dituding-tak-percaya-ronaldo               
66,Dilema Asian Value dan Human Rights                                          ,https://news.detik.com/kolom/d-7398967/dilema-asian-value-dan-human-rights                                                         
67,Penjelasan Femmy Permatasari Pernah Koma Lama sampai Amnesia                 ,https://hot.detik.com/celeb/d-7398928/penjelasan-femmy-permatasari-pernah-koma-lama-sampai-amnesia                                 
68,Sepi Ditinggal Warga, Begini Penampakan Kampung Zombie di Jakarta            ,https://finance.detik.com/berita-ekonomi-bisnis/d-7398660/sepi-ditinggal-warga-begini-penampakan-kampung-zombie-di-jakarta         
69,Ducati Akui Salah Rekrut Valentino Rossi, Akan Beda dengan Marquez           ,https://sport.detik.com/moto-gp/d-7392047/ducati-akui-salah-rekrut-valentino-rossi-akan-beda-dengan-marquez                        
70,Menteri AHY Serahkan LHKPN ke KPK, Total Harta Rp 116 Miliar                 ,https://news.detik.com/berita/d-7390380/menteri-ahy-serahkan-lhkpn-ke-kpk-total-harta-rp-116-miliar                                
71,Situasi Sulit Joan Mir: Mau Tinggalkan Honda, tapi Opsi Terbatas             ,https://sport.detik.com/moto-gp/d-7395407/situasi-sulit-joan-mir-mau-tinggalkan-honda-tapi-opsi-terbatas                           
